make,price,mpg,rep78,headroom,foreign
Audi 5000,9690,17,5,3,Foreign
Audi Fox,6295,23,3,2.5,Foreign
BMW 320i,9735,25,4,2.5,Foreign
Datsun 200,6229,23,4,1.5,Foreign
Datsun 210,4589,35,5,2,Foreign
Datsun 510,5079,24,4,2.5,Foreign
Datsun 810,8129,21,4,2.5,Foreign
Fiat Strada,4296,21,3,2.5,Foreign
Honda Accord,5799,25,5,3,Foreign
Honda Civic,4499,28,4,2.5,Foreign
Mazda GLC,3995,30,4,3.5,Foreign
Peugeot 604,12990,14,,3.5,Foreign
Renault Le Car,3895,26,3,3,Foreign
Subaru,3798,35,5,2.5,Foreign
Toyota Celica,5899,18,5,2.5,Foreign
Toyota Corolla,3748,31,5,3,Foreign
Toyota Corona,5719,18,5,2,Foreign
VW Dasher,7140,23,4,2.5,Foreign
VW Diesel,5397,41,5,3,Foreign
VW Rabbit,4697,25,4,3,Foreign
VW Scirocco,6850,25,4,2,Foreign
Volvo 260,11995,17,5,2.5,Foreign
